target,n,lags,annual_alpha_pct,alpha_ci_low_pct,alpha_ci_high_pct,alpha_p,r_squared,residual_annual_vol_pct,standardized_design_condition,alpha_q,dataset,sample
Equity-derived,70,12,0.19037326631935603,-0.41134923840177806,0.7920957710404901,0.535188148318674,0.6041083733185016,0.8180300241471166,10.625819055502276,0.535188148318674,DFPS,Evaluation
Equity momentum,70,12,2.9146067450825366,1.0044886068988708,4.824724883266202,0.0027832023052191106,0.8626637564040909,2.523605141892628,10.625819055502276,0.005566404610438221,DFPS,Evaluation
Equity value,70,12,-1.4378428531289045,-2.372175571195041,-0.5035101350627682,0.0025593035223829483,0.8976056971221074,2.0914043353788765,10.625819055502276,0.005566404610438221,DFPS,Evaluation
Equity profitability,70,12,-0.9056440929955621,-1.69340925643246,-0.11787892955866408,0.024240945282053682,0.6012897689407136,1.3278057187169678,10.625819055502276,0.032321260376071574,DFPS,Evaluation
Equity-derived,231,3,0.43204214593591,-0.5481045124790103,1.4121888043508302,0.3876126114259353,0.409129642811761,1.687007281308606,7.292542641804882,0.5168168152345803,OSBAP,Full
Equity momentum,231,3,3.9643184889273995,1.9524924587665504,5.9761445190882485,0.00011237285809826801,0.7314499985704882,4.110042434851713,7.292542641804882,0.00044949143239307203,OSBAP,Full
Equity value,231,3,-2.9489158761611383,-4.745707121035976,-1.1521246312863003,0.0012963973145611568,0.6927683522090813,4.387974452149805,7.292542641804882,0.0025927946291223135,OSBAP,Full
Equity profitability,231,3,0.28072382504146975,-1.6987367196456784,2.260184369728618,0.7810400225657479,0.36694654029734053,3.7740549700144337,7.292542641804882,0.7810400225657479,OSBAP,Full
Equity-derived,231,6,0.43204214593591,-0.4532158948268315,1.3173001866986516,0.3387892869007636,0.409129642811761,1.687007281308606,7.292542641804882,0.45171904920101813,OSBAP,Full
Equity momentum,231,6,3.9643184889273995,2.0418850509496824,5.8867519269051165,5.3045669540478653e-05,0.7314499985704882,4.110042434851713,7.292542641804882,0.00021218267816191461,OSBAP,Full
Equity value,231,6,-2.9489158761611383,-4.8484555911565534,-1.0493761611657233,0.0023440623153901745,0.6927683522090813,4.387974452149805,7.292542641804882,0.004688124630780349,OSBAP,Full
Equity profitability,231,6,0.28072382504146975,-1.4153437691671313,1.976791419250071,0.7456288063620788,0.36694654029734053,3.7740549700144337,7.292542641804882,0.7456288063620788,OSBAP,Full
Equity-derived,231,12,0.43204214593591,-0.3950366472904952,1.2591209391623153,0.3059072814223732,0.409129642811761,1.687007281308606,7.292542641804882,0.40787637522983095,OSBAP,Full
Equity momentum,231,12,3.9643184889273995,2.184269279002612,5.744367698852187,1.270739460300281e-05,0.7314499985704882,4.110042434851713,7.292542641804882,5.082957841201124e-05,OSBAP,Full
Equity value,231,12,-2.9489158761611383,-4.93252851380352,-0.9653032385187559,0.0035704438749105645,0.6927683522090813,4.387974452149805,7.292542641804882,0.007140887749821129,OSBAP,Full
Equity profitability,231,12,0.28072382504146975,-1.335656961749224,1.8971046118321637,0.7335540715207386,0.36694654029734053,3.7740549700144337,7.292542641804882,0.7335540715207386,OSBAP,Full
Equity-derived,161,3,0.5228922733363166,-1.1982708498231776,2.2440553964958108,0.5515418288898812,0.38708713816523643,1.9424255717336334,7.254879420242315,0.7353891051865084,OSBAP,Development
Equity momentum,161,3,3.9051620539568663,1.476647492490824,6.333676615422909,0.001622844401856782,0.7185142426763149,4.418195591303685,7.254879420242315,0.006491377607427128,OSBAP,Development
Equity value,161,3,-2.3691149754631105,-4.81679105602141,0.0785611050951891,0.05781587015466811,0.6870977625309145,4.740471195040653,7.254879420242315,0.11563174030933622,OSBAP,Development
Equity profitability,161,3,0.03262974151519358,-2.896929600103018,2.9621890831334055,0.9825830152386378,0.4194284492353304,4.1978145559879065,7.254879420242315,0.9825830152386378,OSBAP,Development
Equity-derived,161,6,0.5228922733363166,-1.0932825582281527,2.1390671049007857,0.5259944071298803,0.38708713816523643,1.9424255717336334,7.254879420242315,0.7013258761731738,OSBAP,Development
Equity momentum,161,6,3.9051620539568663,1.633143866384783,6.17718024152895,0.0007547898118525451,0.7185142426763149,4.418195591303685,7.254879420242315,0.0030191592474101804,OSBAP,Development
Equity value,161,6,-2.3691149754631105,-4.892716590060634,0.1544866391344133,0.0657660044849218,0.6870977625309145,4.740471195040653,7.254879420242315,0.1315320089698436,OSBAP,Development
Equity profitability,161,6,0.03262974151519358,-2.513083100800494,2.5783425838308816,0.9799573717232671,0.4194284492353304,4.1978145559879065,7.254879420242315,0.9799573717232671,OSBAP,Development
Equity-derived,161,12,0.5228922733363166,-1.0342187726100673,2.0800033192827003,0.5104185516906039,0.38708713816523643,1.9424255717336334,7.254879420242315,0.6805580689208052,OSBAP,Development
Equity momentum,161,12,3.9051620539568663,1.8916917641593636,5.9186323437543695,0.0001438486000583963,0.7185142426763149,4.418195591303685,7.254879420242315,0.0005753944002335852,OSBAP,Development
Equity value,161,12,-2.3691149754631105,-4.9327266349452294,0.19449668401900855,0.07009469406708882,0.6870977625309145,4.740471195040653,7.254879420242315,0.14018938813417764,OSBAP,Development
Equity profitability,161,12,0.03262974151519358,-2.3714298077075746,2.436689290737962,0.9787766799845579,0.4194284492353304,4.1978145559879065,7.254879420242315,0.9787766799845579,OSBAP,Development
Equity-derived,70,3,0.3004890568038651,-0.24519508244820648,0.8461731960559367,0.28045265736887937,0.6228466565994004,0.810574977887847,10.446585059395858,0.28045265736887937,OSBAP,Evaluation
Equity momentum,70,3,2.968707609058998,0.9223513676020554,5.015063850515941,0.004463107296595434,0.8581985389711562,2.6021911350353455,10.446585059395858,0.017852429186381736,OSBAP,Evaluation
Equity value,70,3,-1.2658010013162273,-2.4533662110199597,-0.07823579161249516,0.03669663964159599,0.8899077710024574,2.146205803789693,10.446585059395858,0.07339327928319198,OSBAP,Evaluation
Equity profitability,70,3,-0.8014394373311758,-1.752965528999166,0.15008665433681423,0.09877039914457027,0.6157164327225991,1.3221516587860676,10.446585059395858,0.1316938655260937,OSBAP,Evaluation
Equity-derived,70,6,0.3004890568038651,-0.25531586173000914,0.8562939753377394,0.2893039645375518,0.6228466565994004,0.810574977887847,10.446585059395858,0.2893039645375518,OSBAP,Evaluation
Equity momentum,70,6,2.968707609058998,1.0536857925133691,4.883729425604627,0.002378113902519006,0.8581985389711562,2.6021911350353455,10.446585059395858,0.009512455610076024,OSBAP,Evaluation
Equity value,70,6,-1.2658010013162273,-2.250747540369728,-0.2808544622627267,0.011772611597961547,0.8899077710024574,2.146205803789693,10.446585059395858,0.023545223195923094,OSBAP,Evaluation
Equity profitability,70,6,-0.8014394373311758,-1.7149181933960744,0.11203931873372275,0.08550453335129495,0.6157164327225991,1.3221516587860676,10.446585059395858,0.11400604446839326,OSBAP,Evaluation
Equity-derived,70,12,0.3004890568038651,-0.2672031386612291,0.8681812522689594,0.2995210307407612,0.6228466565994004,0.810574977887847,10.446585059395858,0.2995210307407612,OSBAP,Evaluation
Equity momentum,70,12,2.968707609058998,1.127801995753702,4.809613222364295,0.0015735631008409405,0.8581985389711562,2.6021911350353455,10.446585059395858,0.006294252403363762,OSBAP,Evaluation
Equity value,70,12,-1.2658010013162273,-2.24067457088345,-0.2909274317490045,0.010930447260040598,0.8899077710024574,2.146205803789693,10.446585059395858,0.021860894520081196,OSBAP,Evaluation
Equity profitability,70,12,-0.8014394373311758,-1.5734258446467797,-0.02945303001557198,0.04187317143589217,0.6157164327225991,1.3221516587860676,10.446585059395858,0.05583089524785623,OSBAP,Evaluation
Equity-derived,231,3,0.6725165237864613,-0.12252960969498516,1.4675626572679077,0.09733120239889508,0.49942652587611447,1.5011720758018596,7.003399679741184,0.1297749365318601,ICE,Full
Equity momentum,231,3,3.8777384844705316,1.719096473601443,6.03638049533962,0.0004300811910851756,0.7089925233390604,4.100671312455936,7.003399679741184,0.0017203247643407023,ICE,Full
Equity value,231,3,-2.0058430092171644,-3.61578802200803,-0.39589799642629897,0.014606986586127137,0.6967862865000893,3.9460961026256265,7.003399679741184,0.029213973172254274,ICE,Full
Equity profitability,231,3,0.14565409610601696,-1.556607206866173,1.8479153990782067,0.8668133767145997,0.4305880654317453,3.304140206773494,7.003399679741184,0.8668133767145997,ICE,Full
Equity-derived,231,6,0.6725165237864613,-0.046660464976792104,1.3916935125497147,0.0668271889146345,0.49942652587611447,1.5011720758018596,7.003399679741184,0.08910291855284601,ICE,Full
Equity momentum,231,6,3.8777384844705316,1.749793664990559,6.005683303950504,0.00035467987577603757,0.7089925233390604,4.100671312455936,7.003399679741184,0.0014187195031041503,ICE,Full
Equity value,231,6,-2.0058430092171644,-3.595164342365157,-0.4165216760691719,0.01337341517375801,0.6967862865000893,3.9460961026256265,7.003399679741184,0.02674683034751602,ICE,Full
Equity profitability,231,6,0.14565409610601696,-1.4432912669622444,1.7345994591742782,0.8574135168708247,0.4305880654317453,3.304140206773494,7.003399679741184,0.8574135168708247,ICE,Full
Equity-derived,231,12,0.6725165237864613,-0.004786344861334002,1.3498193924342567,0.05163682879680905,0.49942652587611447,1.5011720758018596,7.003399679741184,0.06884910506241207,ICE,Full
Equity momentum,231,12,3.8777384844705316,1.8807436879739379,5.874733280967125,0.00014128805444140187,0.7089925233390604,4.100671312455936,7.003399679741184,0.0005651522177656075,ICE,Full
Equity value,231,12,-2.0058430092171644,-3.555497410578439,-0.45618860785588966,0.011181126533236246,0.6967862865000893,3.9460961026256265,7.003399679741184,0.022362253066472493,ICE,Full
Equity profitability,231,12,0.14565409610601696,-1.3971269392869312,1.688435131498965,0.8531947001223327,0.4305880654317453,3.304140206773494,7.003399679741184,0.8531947001223327,ICE,Full
Equity-derived,161,3,0.9873937710709362,-0.32194206384343227,2.2967296059853046,0.13938868036061616,0.4897269379891661,1.7054179524131008,6.764259212025084,0.2787773607212323,ICE,Development
Equity momentum,161,3,3.810548881735372,1.235536394989257,6.385561368481487,0.0037263612790928127,0.6869825890174482,4.378638682675192,6.764259212025084,0.014905445116371251,ICE,Development
Equity value,161,3,-0.8175087110631082,-2.7397676106747593,1.1047501885485431,0.40452928323955506,0.7003137957195813,4.123151683240767,6.764259212025084,0.53937237765274,ICE,Development
Equity profitability,161,3,-0.03085885745945573,-2.2809076683568636,2.2191899534379522,0.9785547192603834,0.525155934894168,3.4850518291313337,6.764259212025084,0.9785547192603834,ICE,Development
