signal,statistic,reported,reproduced,absolute_error
Equity profitability,DFPS_OSBAP,0.985121111680678,0.9851211116806781,1.1102230246251565e-16
Equity profitability,DFPS_ICE,0.9766400706206448,0.9766400706206447,1.1102230246251565e-16
Equity profitability,OSBAP_ICE,0.9770072850390268,0.9770072850390267,1.1102230246251565e-16
Equity profitability,Mean_DFPS,0.0360933880690072,0.03609338806900729,9.020562075079397e-17
Equity profitability,Mean_OSBAP,0.0399767596326308,0.039976759632630886,8.326672684688674e-17
Equity profitability,Mean_ICE,0.0297724971081938,0.02977249710819384,4.163336342344337e-17
Equity profitability,SR_DFPS,0.0957856475879668,0.09578564758796683,2.7755575615628914e-17
Equity profitability,SR_OSBAP,0.101134843505922,0.10113484350592201,1.3877787807814457e-17
Equity profitability,SR_ICE,0.0815927034010794,0.08159270340107946,6.938893903907228e-17
Equity profitability,p_value_DFPS_OSBAP,0.8054302910054412,0.805430291005441,2.220446049250313e-16
Equity profitability,p_value_DFPS_ICE,0.7324745683945404,0.7324745683945403,1.1102230246251565e-16
Equity profitability,p_value_OSBAP_ICE,0.6070177442067304,0.60701774420673,3.3306690738754696e-16
