dataset,sample,strategy,n,start,end,annual_mean_pct,annual_vol_pct,sharpe,mean_t,mean_p,mean_ci_low_pct,mean_ci_high_pct,max_pnl_drawdown_pct,worst_month_pct,market_alpha_pct,market_alpha_t,market_alpha_p,market_alpha_ci_low_pct,market_alpha_ci_high_pct,market_beta,market_r2,market_term_alpha_pct,market_term_alpha_t,market_term_alpha_p,market_term_alpha_ci_low_pct,market_term_alpha_ci_high_pct,market_term_beta,market_term_r2,term_beta,mean_q,market_alpha_q,market_term_alpha_q
ICE duration-adjusted,Development,Credit spread,161,2002-09,2016-01,9.276461572783203,14.518744747395763,0.6389299994028153,1.6246070675797948,0.10424631024279504,-1.9150843988472883,20.46800754441369,-45.1155276186216,-11.34153697806696,3.86092017332044,0.9980636726944588,0.3182484841405896,-3.7211647644856294,11.44300511112651,1.1255867777656885,0.20401370296622268,5.642305228651537,2.181762225638416,0.029127085787670662,0.573504367493988,10.711106089809084,1.8444567618689742,0.6112117992969278,-0.8725588820982823,0.5313962739849108,0.45464069162941373,0.15338013714100496
ICE duration-adjusted,Development,Bond momentum,161,2002-09,2016-01,-1.793964114844868,10.601228005560058,-0.16922229329507696,-0.4581567259386879,0.6468398471561887,-9.46856423752535,5.880636007835612,-63.600048460491124,-19.556898190949042,0.3640076029457938,0.11125247592716161,0.9114161400933238,-6.0489274425705295,6.776942648462118,-0.44852107170271804,0.06075931444994398,-0.217755796112173,-0.05860137809778169,0.9532696130080283,-7.500884183770609,7.065372591546263,-0.6832890934625856,0.14221637026593392,0.28495962712192296,0.8085498089452359,0.9114161400933238,0.9532696130080283
ICE duration-adjusted,Development,Low volatility,161,2002-09,2016-01,-3.4554059982047813,11.019546798117132,-0.31357060880173343,-0.8579245944815181,0.3909341025197193,-11.349568026016033,4.438756029606473,-83.7026262411354,-11.73001200841132,0.5520931898761067,0.19249064995535617,0.8473578912213006,-5.069492338606124,6.173678718358338,-0.8329339146882083,0.19393363473952507,-0.9277825556720691,-0.49496430962388444,0.6206253140097726,-4.601691509832966,2.746126398488828,-1.4301311632523717,0.6817667831716279,0.7248734473860677,0.5584772893138847,0.9114161400933238,0.6937338185621044
ICE duration-adjusted,Development,Equity momentum,161,2002-09,2016-01,2.258575421860409,7.4855617776816255,0.30172423779794366,1.232332075209239,0.21782506279192737,-1.3336444966990975,5.8507953404199124,-18.736716085321962,-10.85253559042218,4.376250024473983,2.474158340687728,0.01335504916266268,0.9094347010922217,7.843065347855743,-0.4401455656028237,0.117355480716958,3.74742684983898,2.1612500717904695,0.030676027428200994,0.34895079121262507,7.145902908465334,-0.6939043496460745,0.30823377689932996,0.3080104689634463,0.5313962739849108,0.13355049162662677,0.15338013714100496
ICE duration-adjusted,Development,Equity value,161,2002-09,2016-01,-0.13543426143645765,7.266857517969434,-0.018637252911806342,-0.05381406903100947,0.9570833002967516,-5.068180608167734,4.79731208529482,-38.59671417867395,-7.662164613927561,-2.2021324107695053,-1.0597213910429264,0.28927136819842736,-6.275070412766856,1.8708055912278456,0.42955042514361813,0.11860268731035062,-1.4954070049622745,-0.9148343656620734,0.3602785906707793,-4.699263177991881,1.7084491680673315,0.7147463066952353,0.37443558369455177,-0.34616857719567695,0.9570833002967516,0.45464069162941373,0.5262092052131812
ICE duration-adjusted,Development,Equity profitability,161,2002-09,2016-01,-0.3400886502575807,4.740444440792054,-0.07174193358982965,-0.25763320109668664,0.796690003686079,-2.9273862177582153,2.247208917243053,-29.130327563444343,-6.95501168335127,1.312426911404103,1.0801517954672828,0.2800745901345042,-1.0690501709343276,3.6939039937425338,-0.3434651365499584,0.17819138865530004,1.0058597932435496,0.8995750427535775,0.36834644364922675,-1.185714117836385,3.197433704323484,-0.4671789280736584,0.2913170916067953,0.15016285283730818,0.8852111152067544,0.45464069162941373,0.5262092052131812
ICE duration-adjusted,Development,Bond-only,161,2002-09,2016-01,1.3423638199111847,3.331115188311716,0.40297730460396497,1.3326980626067937,0.18263090931371828,-0.631851616314144,3.316579256136513,-14.900349113689426,-4.747241517021159,1.5923403220474455,1.5167445677618487,0.12933118724584367,-0.4653476351399735,3.650028279234864,-0.05195606954174595,0.008257580014164878,1.4989222922890981,1.2987637217607984,0.19402502826019374,-0.7631425033795028,3.760987087957699,-0.08965449828199415,0.029530660131505404,0.04575806413656945,0.5313962739849108,0.3233279681146091,0.3880500565203875
ICE duration-adjusted,Development,Equity-derived,161,2002-09,2016-01,0.5943508367221232,2.263310918079415,0.2626023813053813,1.0760557558905528,0.28190232136916216,-0.4882395714405627,1.676941244884808,-9.248683337965815,-3.302842151691444,1.1621815083695264,2.0083319745229744,0.044608026295596306,0.027968746086876183,2.296394270652177,-0.11802009233638806,0.09229602055269348,1.085959879373418,1.7831544938393469,0.07456115778300797,-0.10770077702266455,2.2796205357695007,-0.1487789903414992,0.12297326065684322,0.03733491486835918,0.5313962739849108,0.22013151673014583,0.24853719261002657
ICE duration-adjusted,Development,Combined,161,2002-09,2016-01,0.9683573283166541,2.5063110855915633,0.3863675718004867,1.3440939417201838,0.1789180109245525,-0.4437317411955474,2.3804463978288544,-11.928222854025327,-3.8962596436866144,1.377260915208486,1.8381557710209482,0.06603945501904375,-0.09129329350763106,2.8458151239246026,-0.08498808093906705,0.039030634249586305,1.292441085831258,1.57470181641919,0.11532528836131284,-0.31623460236323964,2.901116774025756,-0.11921674431174661,0.07001004185952964,0.04154648950246433,0.5313962739849108,0.22013151673014583,0.2883132209032821
ICE duration-adjusted,Development,Combined minus bond,161,2002-09,2016-01,-0.3740064915945308,1.351982654138019,-0.27663556958353536,-0.9968490936276704,0.31883776439094647,-1.1093762965241822,0.36136331333512095,-7.787388954630478,-1.6771111110001018,-0.21507940683895949,-0.5425971613098176,0.5874071938879322,-0.9920013435235056,0.5618425298455867,-0.03303201139732104,0.020262233375020977,-0.20648120645784,-0.4896798866751484,0.6243604367058939,-1.0329459555110205,0.6199835425953405,-0.029562246029752492,0.02135624303020711,-0.004211574634105129,0.5313962739849108,0.7342589923599152,0.6937338185621044
ICE duration-adjusted,Evaluation,Credit spread,70,2016-02,2021-11,12.495188984111191,13.74374176600898,0.9091548136486591,2.302999506808386,0.02127887084295785,1.8609833160438911,23.12939465217849,-27.929243891257656,-21.16132676041353,4.598686214483439,0.7454414958260963,0.4560048662746784,-7.492705304308904,16.690077733275782,1.5398605491597601,0.4428087284346368,5.661029200300289,2.4642130976019283,0.013731444578397442,1.1583272045246928,10.163731196075886,2.0823248641860173,0.9050520807363608,-0.995742351469935,0.09377164094561624,0.8880527706703308,0.10816182180825168
ICE duration-adjusted,Evaluation,Bond momentum,70,2016-02,2021-11,-2.5721297397413623,7.900586157460905,-0.32556188724204665,-0.5289147982718855,0.5968645558806166,-12.103673017344239,6.959413537861512,-25.00290327803345,-9.897951861094501,-1.9603953776798537,-0.3947189305504792,0.6930503303155908,-11.694853603166774,7.774062847807067,-0.11929149373911212,0.008041992934291198,-1.760130728952516,-0.4149912071516242,0.6781483399568516,-10.073213438404881,6.552951980499849,-0.017030334258383878,0.057751687758785586,-0.18770961441114087,0.8526636512580238,0.8880527706703308,0.9183959363559956
